ID,Title,Pay,OT Pay,Other Pay,Benefits,Compensation,Employment
110616,"Battalion Chief, Fire Suppress",179464.2,38802.15,24701.63,59547.42,302515.4,FT
110617,Senior Physician Specialist,198874.01,0,40826.32,62701.48,302401.81,FT
110618,Police Officer 3,100148.75,15716.42,152037.57,33847.07,301749.81,PT
110619,"Lieutenant, Fire Suppression",129817.24,108123.01,16979.29,46748.39,301667.93,FT
110620,Asst Chf of Dept (Fire Dept),205480.8,0,29794.8,65881.22,301156.82,FT
110621,"Manager, Dept Public Health",201305.83,0,37292.77,62477.06,301075.66,FT
110622,Sheriff (SFERS),215629.23,0,12937.66,71962.27,300529.16,FT
110623,Senior Physician Specialist,188978.16,0,50766.82,60202.27,299947.25,FT
110624,Dep Dir IV,227992.03,0,0,71834.54,299826.57,FT
110625,Commander 3,218322.03,0,19167.05,62317.38,299806.46,FT
110626,Firefighter,125033.15,113394.04,15309.22,45969.93,299706.34,FT
110627,Nurse Manager,179541.01,11301.12,45879.17,62284.42,299005.72,FT
110628,"Captain, Fire Suppression",149531.76,76133.79,20805.11,52483.23,298953.89,FT
110629,"Captain, Fire Suppression",164014.08,64962.52,15826.91,53893.76,298697.27,FT
110630,Dept Head IV,226832.02,0,0,71586.74,298418.76,FT
110631,"Captain, Fire Suppression",149531.79,69075.61,28162.98,51530.47,298300.85,HOURLY
110632,Nurse Manager,175179,0,59220.5,63603.32,298002.82,FT
110633,Senior Physician Specialist,180200.1,0,57910.02,59791.15,297901.27,FT
110634,Senior Physician Specialist,193198.25,0,43094.74,61325.89,297618.88,FT
110635,Nursing Supervisor Psychiatric,199104,0,37761.23,60639.41,297504.64,FT
110636,Nursing Supervisor,199104.06,0,37690.69,60639.42,297434.17,FT
110637,Manager VIII,237672.7,0,0,59477.42,297150.12,FT
110638,Supervising Physician Spec,220532.01,0,13565.73,62804.67,296902.41,FT
110639,"Captain, Emergency Med Svcs",149696.36,76588.65,18536.21,51818.86,296640.08,HOURLY
110640,Sergeant 3,142996.07,88343.44,20727.15,44545.92,296612.58,HOURLY
110641,Nursing Supervisor,199104,0,36196.59,61093.51,296394.1,FT
110642,Public Defender,225118.12,0,0,71225.59,296343.71,FT
110643,"Captain, Fire Suppression",179464.26,48046.24,12049.32,56634.07,296193.89,HOURLY
110644,Dep Dir V,224249.9,0,0,70973.8,295223.7,FT
110645,Manager VIII,223951.89,0,0,70971.53,294923.42,FT
110646,Senior Physician Specialist,190024.2,0,42063.68,62815.54,294903.42,FT
110647,"Battalion Chief, Fire Suppress",179464.21,34903.82,21552.62,58888.28,294808.93,FT
110648,Manager VIII,223870.9,0,0,70392.89,294263.79,FT
110649,"Lieut,Fire Prev",147160,91625.28,8829.6,46573.47,294188.35,HOURLY
110650,"Captain, Fire Suppression",148121.11,74512.43,19845.95,51605.22,294084.71,HOURLY
110651,"Captain, Fire Suppression",149531.77,73072.04,19380.47,52043.47,294027.75,HOURLY
110652,"Deputy Dir II, MTA",222893.9,0,0,70184.16,293078.06,FT
110653,Deputy Sheriff,93475.61,148147.92,13499.02,37450.54,292573.09,HOURLY
110654,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",221676.97,0,0,70840.72,292517.69,FT
110655,Captain 3,173592,8602.31,57441.16,52854.06,292489.53,HOURLY
110656,"Lieutenant, Fire Suppression",136373.21,98563.69,11306.11,46216.65,292459.66,HOURLY
110657,"Lieutenant, Fire Suppression",130961.02,97098.33,16370.28,47685.97,292115.6,HOURLY
110658,"Battalion Chief, Fire Suppress",177771.13,32700.02,22798,58637.35,291906.5,HOURLY
110659,Nursing Supervisor,205280.01,1455.48,22428.21,62588.17,291751.87,HOURLY
110660,Nursing Supervisor,194192.23,0,37430.89,60082.51,291705.63,FT
110661,EMT/Paramedic/Firefighter,129303.37,98978.3,16162.91,47181.92,291626.5,FT
110662,"Cfdntal Chf Atty 2,(Cvl&Crmnl)",221676.97,0,0,69922.68,291599.65,FT
110663,Nursing Supervisor Psychiatric,195976,0,35532.64,60077.87,291586.51,FT
110664,"Captain, Fire Suppression",148236.16,71926.64,19536.21,51651.89,291350.9,FT
110665,Supervising Physician Spec,225792.01,0,3420,62087.74,291299.75,FT
110666,Commander 3,209109.51,0,20860.6,60698.19,290668.3,FT
110667,EMT/Paramedic/Firefighter,128578.98,108951.8,7714.76,45178.21,290423.75,HOURLY
110668,"Battalion Chief, Fire Suppress",179908.6,29716.88,21821.96,58386.78,289834.22,HOURLY
110669,EMT/Paramedic/Firefighter,130229.86,101935.57,11184.47,46470.99,289820.89,HOURLY
110670,Supervising Physician Spec,227370,0,0,62416.3,289786.3,FT
110671,Dept Head IV,219184.68,0,0,70095.24,289279.92,FT
110672,Nursing Supervisor,189206,0,40659.98,59377.26,289243.24,FT
110673,"Captain, Emergency Med Svcs",149048.09,65823.94,23810.78,50558.8,289241.61,FT
110674,EMT/Paramedic/Firefighter,129001.34,96467.04,16559.7,47148.74,289176.82,FT
110675,Police Officer 2,116584.02,115346.62,18834.23,38350.08,289114.95,FT
110676,Anesthetist,210083.34,4295.15,10353.89,63916.47,288648.85,PT
110677,Dept Head IV,219212.28,0,0,69397.69,288609.97,FT
110678,"Captain, Fire Suppression",148121.1,39081.92,46409.52,54982.09,288594.63,FT
110679,Senior Physician Specialist,183872,0,43420.8,61290.37,288583.17,FT
110680,"Captain, Fire Suppression",149531.77,60677.74,24983.41,53357.78,288550.7,HOURLY
110681,"Battalion Chief, Fire Suppress",179464.2,28015.89,24197.33,56634.05,288311.47,HOURLY
110682,Manager VIII,220238.54,0,0,67989.3,288227.84,FT
110683,Nursing Supervisor Psychiatric,205280,0,20528,62090.44,287898.44,FT
110684,Anesthetist,211336.34,2827.59,9406.45,64049.14,287619.52,PT
110685,EMT/Paramedic/Firefighter,130229.92,93245.52,16565.02,47574.19,287614.65,FT
110686,Captain 3,199160,0,27857.27,60230.45,287247.72,FT
110687,Manager VIII,210759.58,0,7091.44,69076.3,286927.32,FT
110688,"Captain, Fire Suppression",150942.42,45019.3,34574.03,55782.26,286318.01,FT
110689,Dept Head III,202290.14,0,14958.35,68955.03,286203.52,FT
110690,"Captain, Emergency Med Svcs",146812.7,69636.3,18351.59,51085.19,285885.78,FT
110691,Firefighter,112703.73,58772.65,63092.03,51296.28,285864.69,FT
110692,Senior Physician Specialist,211406.08,0,12315.03,61634.79,285355.9,FT
110693,Nursing Supervisor,201625.79,0,20162.59,63214.88,285003.26,FT
110694,Senior Physician Specialist,194179.5,0,29126.93,61557.06,284863.49,FT
110695,Commander 3,218322.07,0,6067.91,59584.43,283974.41,FT
110696,EMT/Paramedic/Firefighter,130229.91,89873.52,16299.42,47518.63,283921.48,FT
110697,Sergeant 3,137982.14,8001.88,93039.08,44599.42,283622.52,FT
110698,Manager VIII,212759.3,0,0,70686.95,283446.25,FT
110699,"Captain, Fire Suppression",149323.08,61072.68,20796.47,52215.62,283407.85,FT
110700,Nursing Supervisor,205280,0,20320.92,57706.11,283307.03,FT
110701,"Lieutenant, Fire Suppression",196520.68,1964.41,20575.9,64186.78,283247.77,FT
110702,Firefighter,112703.73,117006.66,11237.12,41933.25,282880.76,FT
110703,EMT/Paramedic/Firefighter,130229.91,88668.15,16278.71,47514.36,282691.13,FT
110704,Anesthetist,209621.65,1149.38,8494.27,63377.62,282642.92,PT
110705,Captain 3,196763.02,1217.94,26341.07,58107.19,282429.22,FT
110706,Captain 3,199160.04,7624.1,18686.85,56415.38,281886.37,FT
110707,"Captain, Emergency Med Svcs",151057.51,59981.86,18411.94,52404.65,281855.96,FT
110708,Nursing Supervisor,205280,0,18321.53,58237.87,281839.4,FT
110709,Supervising Physician Spec,220532,0,0,60956.08,281488.08,FT
110710,"Captain, Emergency Med Svcs",149469.49,67034.98,15977.25,48935.13,281416.85,FT
110711,Senior Physician Specialist,184433.98,0,38465.19,57759.4,280658.57,PT
110712,"Battalion Chief, Fire Suppress",177851.65,23110.27,22312.36,57268.14,280542.42,FT
110713,Police Officer 3,118898.14,109310.13,12557.94,39456.55,280222.76,FT
110714,Dep Dir V,209911.81,0,0,70071.62,279983.43,FT
110715,Captain 3,196763.06,5314.13,22379.89,55424.14,279881.22,FT
110716,Nursing Supervisor,205280.02,0,16829.01,57706.11,279815.14,FT
110717,Dep Dir IV,211427.44,0,0,68304.67,279732.11,FT
110718,Commander 3,214637.01,0,6067.85,58835.59,279540.45,FT
110719,"Capt,Fire Prev or Fire Invsgtn",168064,49590.23,10772.84,51029.53,279456.6,FT
110720,"Capt,Fire Prev or Fire Invsgtn",171659.5,45441.6,10299.57,51847.42,279248.09,FT
110721,EMT/Paramedic/Firefighter,122897.31,95862.23,15042.7,44761.06,278563.3,FT
110722,Lieutenant 2,154700.05,71009.57,6361.56,46477.12,278548.3,FT
110723,Dept Head IV,219184.67,0,0,59225.09,278409.76,FT
110724,EMT/Paramedic/Firefighter,130229.91,74706.35,24499.76,48853.06,278289.08,FT
110725,Firefighter,112703.75,106596.14,15634.89,43283.2,278217.98,FT
110726,Nurse Manager,186242.01,0,34288.61,57617.7,278148.32,PT
110727,Captain 3,173592.08,8741.4,43913.76,51606.71,277853.95,HOURLY
110728,"Lieutenant, Fire Suppression",129725.53,76729.19,22791.88,48461.1,277707.7,HOURLY
110729,Anesthetist,205394.61,2211.25,8091.78,61808.17,277505.81,HOURLY
110730,Sergeant 3,142996.12,68193.33,21565.94,44744.24,277499.63,HOURLY
110731,Senior Physician Specialist,179560.36,0,41244.31,56607.71,277412.38,PT
110732,"Battalion Chief, Fire Suppress",177771.18,28532.3,14221.5,56851.17,277376.15,FT
110733,Sergeant 3,137053.35,66890.45,30631.31,42541.75,277116.86,FT
110734,"Captain, Fire Suppression",148121.11,47593.09,27854.83,53331.2,276900.23,FT
110735,Chief Atty1 (Civil & Criminal),213489.04,0,1312.5,61891.77,276693.31,FT
110736,EMT/Paramedic/Firefighter,130229.94,82367.08,16278.72,47514.35,276390.09,FT
110737,Chief Forensic Toxicologist,202821.03,0,16086.18,57184.33,276091.54,FT
110738,Manager VIII,208412,0,0,67606.4,276018.4,FT
110739,Captain 3,199160,6099.28,13773.52,56417.55,275450.35,HOURLY
110740,EMT/Paramedic/Firefighter,130229.86,90825.4,8592.5,45767.78,275415.54,HOURLY
110741,EMT/Paramedic/Firefighter,128002.07,84691.41,16000.24,46715,275408.72,HOURLY
110742,Dep Dir V,208248.79,0,0,67056.14,275304.93,FT
110743,Manager VIII,207693.49,0,0,67498.87,275192.36,FT
110744,"Deputy Dir II, MTA",203890.23,0,2076.95,69179.47,275146.65,FT
110745,"Captain, Fire Suppression",149531.77,56074.12,17813.13,51652.45,275071.47,FT
110746,Nursing Supervisor,185791.57,0,31645.8,57558.33,274995.7,FT
110747,Captain 3,199160.06,0,17818.98,58013.86,274992.9,FT
110748,"Lieut,Fire Prev",147160.03,72595.31,8829.6,46406.84,274991.78,FT
110749,EMT/Paramedic/Firefighter,127772.68,84479.9,15971.56,46616.98,274841.12,FT
110750,EMT/Paramedic/Firefighter,129001.33,90505.71,9710.07,45572.74,274789.85,FT
110751,"Lieutenant, Fire Suppression",130961.04,74199.83,21325.87,48232.3,274719.04,FT
110752,Chief Atty1 (Civil & Criminal),213489,0,1250,59730.03,274469.03,FT
110753,Supervising Physician Spec,206711.93,0,9712.5,57949.17,274373.6,FT
110754,"Insp, Fire Dept",134472.01,85797.7,10102.04,43888.82,274260.57,FT
110755,Dir Emp Relations Div,206872.05,0,0,67323.37,274195.42,FT
110756,Chief Atty1 (Civil & Criminal),213181.02,0,1250,59684.01,274115.03,FT
110757,Dep Dir V,205107.99,0,0,68997.66,274105.65,FT
110758,Anesthetist,196887.31,6962.69,7935.35,62318.87,274104.22,PT
110759,Special Assistant 21,199532.61,0,6661.58,67792.99,273987.18,FT
110760,Dep Dir IV,206878.3,0,0,67108.87,273987.17,FT
110761,Human Resources Director,217132.04,0,0,56594.98,273727.02,FT
110762,Senior Physician Specialist,210592.9,0,4230,58775.56,273598.46,FT
110763,Commander 3,209109.51,574.5,5975.73,57787.26,273447,FT
110764,"Battalion Chief, Fire Suppress",177771.21,11891.64,25873.38,57778.4,273314.63,FT
110765,Chief Atty1 (Civil & Criminal),212296.4,0,1312.5,59495.43,273104.33,FT
110766,Manager VIII,204248.97,0,0,68805.65,273054.62,FT
110767,Manager VIII,205813.37,0,0,67131.44,272944.81,FT
110768,Chief Adult Probation Officer,207654.94,0,0,65066.7,272721.64,FT
110769,Assistant Chief Attorney 2,211360.01,0,1918,59421.8,272699.81,FT
110770,"Lieutenant, Fire Suppression",130961.06,73330.63,19867.77,48272.9,272432.36,FT
110771,Dep Dir V,205142.4,0,0,67045.61,272188.01,FT
110772,Dep Dir V,205142.46,0,0,66955.23,272097.69,FT
110773,Captain 3,173592.02,751.32,45163.42,52526.15,272032.91,FT
110774,Assistant Chief Attorney 2,211360.04,0,1312.5,59295.54,271968.08,FT
110775,"Lieutenant, Fire Suppression",130961.06,69928.04,23258.36,47765.88,271913.34,FT
110776,Firefighter,112703.73,96557.58,19244.64,43401.83,271907.78,FT
110777,Assistant Chief Attorney 2,211360.06,0,1250,59275.24,271885.3,FT
110778,Assistant Chief Attorney 2,211360.06,0,1250,59275.24,271885.3,FT
110779,Assistant Chief Attorney 2,211360.04,0,1250,59275.24,271885.28,FT
110780,Captain 3,196763.12,0,17413.01,57563.38,271739.51,FT
110781,Manager VII,189345.49,0,16497.9,65638.28,271481.67,FT
110782,Manager VIII,202405.87,0,2073.86,66858.11,271337.84,FT
110783,Sergeant 3,137982.16,76559.75,13604.28,43165.69,271311.88,FT
110784,Nurse Manager,180617,0,34317.23,56296.2,271230.43,FT
110785,"Captain, Fire Suppression",149394.84,51339.63,18539.47,51930.99,271204.93,FT
110786,Captain 3,199160.03,1496.09,14871.22,55562.45,271089.79,FT
110787,"Captain, Emergency Med Svcs",147133.44,54588.44,18939.68,50377.43,271038.99,FT
110788,Senior Physician Specialist,207899.59,0,4694.55,58368.33,270962.47,FT
110789,Supervising Physician Spec,207480.03,0,5220,58169.01,270869.04,FT
110790,Senior Physician Specialist,211406.03,0,0,59007.29,270413.32,FT
110791,Firefighter,112179.88,89867.1,23879.06,44466.92,270392.96,FT
110792,Manager VIII,203682.89,0,0,66642.26,270325.15,FT
110793,Manager VIII,203682.64,0,0,66642.21,270324.85,FT
110794,Dep Dir IV,203447.24,0,0,66591.9,270039.14,FT
110795,Senior Physician Specialist,201007,0,10050.6,58946.11,270003.71,FT
110796,"Captain, Fire Suppression",149531.79,31986.45,34890.69,53557.77,269966.7,FT
110797,"Lieut,Fire Prev",147160.03,67383.04,8829.6,46529.99,269902.66,FT
110798,Sergeant 3,137982.03,43716.43,43572.84,44545.8,269817.1,FT
110799,Anesthetist,192759.13,4477.63,10702.71,61868.36,269807.83,PT
110800,"Lieutenant, Fire Suppression",130961.03,74754.93,16370.3,47685.98,269772.24,FT
110801,Nurse Practitioner,176364.78,15733.2,18376.26,59203.51,269677.75,FT
110802,"Battalion Chief, Fire Suppress",179464.18,14045.34,17946.36,58131.34,269587.22,FT
110803,EMT/Paramedic/Firefighter,129001.26,82784.29,11653.12,46121.12,269559.79,FT
110804,Firefighter,112703.74,97801.19,16320.7,42675.14,269500.77,FT
110805,Dep Dir IV,203447.24,0,0,66030.56,269477.8,FT
110806,Nurse Practitioner,188876,22234.59,250,57985.48,269346.07,FT
110807,"Captain, Fire Suppression",148121.08,42658.34,25458,52864.06,269101.48,FT
110808,Mech Shop & Equip Supt,94523,125869.76,11884.87,36723.63,269001.26,FT
110809,Captain 3,199160.06,2783.46,10590.49,56417.58,268951.59,FT
110810,Senior Physician Specialist,198874,0,11243.92,58732.64,268850.56,FT
110811,"Lieutenant, Fire Suppression",130961.06,54739.27,32382.56,50664.63,268747.52,FT
110812,Dep Dir V,202737.86,0,0,65917.12,268654.98,FT
110813,EMT/Paramedic/Firefighter,127732.87,79012.24,15353.31,46481.28,268579.7,FT
110814,"Lieutenant, Fire Suppression",130961.02,65875.62,22721.71,49009.74,268568.09,FT
110815,Dep Dir IV,202185.18,0,0,66322.33,268507.51,FT
110816,Manager VIII,202039.36,0,0,66291.2,268330.56,FT
110817,Manager VIII,202039.33,0,0,66291.2,268330.53,FT
110818,"Lieutenant, Fire Suppression",130961.05,72289.84,17121.07,47685.99,268057.95,HOURLY
110819,"Captain, Fire Suppression",149531.78,58815.81,9660.84,50016.22,268024.65,HOURLY
110820,"Capt,Fire Prev or Fire Invsgtn",168064,38798.58,10083.84,51031.49,267977.91,HOURLY
110821,"Lieutenant, Fire Suppression",129725.55,74490.08,16401.59,47281.32,267898.54,HOURLY
110822,Lieutenant 3,157612.09,43864.82,17189.66,49177.08,267843.65,HOURLY
110823,Senior Physician Specialist,183872,0,26056,57888.53,267816.53,FT
110824,Nurse Manager,180617.01,0,32113.6,54972.84,267703.45,FT
110825,Sergeant 3,137982.08,49798.77,36823.79,42824.9,267429.54,FT
110826,Supervising Physician Spec,197912,0,13320,56125.8,267357.8,FT
110827,Senior Physician Specialist,198874.04,0,9943.78,58453.53,267271.35,FT
110828,Senior Physician Specialist,198874.14,0,9943.85,58452.45,267270.44,FT
110829,Senior Physician Specialist,198874.03,0,9943.85,58452.42,267270.3,FT
110830,"Lieutenant, Fire Suppression",131080.06,75065.13,17354.41,43765.08,267264.68,FT
110831,Nurse Manager,171337.5,0,39950.65,55954.55,267242.7,FT
110832,Police Officer 3,118898.13,98583.98,10919.81,38833.08,267235,FT
110833,Captain 3,199160,1757.97,9590.51,56417.6,266926.08,FT
110834,Dept Head III,201294.51,0,0,65570.63,266865.14,FT
110835,"Captain, Emergency Med Svcs",148121.08,49566.17,17788.77,51262.92,266738.94,FT
110836,Senior Physician Specialist,198962.08,0,8055,59521.76,266538.84,FT
110837,Nurse Practitioner,174784.66,16275.76,16852.07,58341.08,266253.57,FT
110838,Sergeant 3,137982.12,59720.37,25403.41,42834.49,265940.39,FT
110839,Dep Dir V,199916.02,0,0,65969.96,265885.98,FT
110840,Manager VIII,199916.01,0,0,65837.53,265753.54,FT
110841,Nurse Manager,186242.04,0,19651.24,59710.73,265604.01,FT
110842,Manager VII,199698.57,0,0,65791.21,265489.78,FT
110843,"Lieutenant, Fire Suppression",129725.58,72629.67,16615.64,46512.31,265483.2,FT
110844,Dep Dir V,199916.01,0,0,65559.85,265475.86,FT
110845,Firefighter,112703.75,82714.38,26174.88,43871.96,265464.97,FT
110846,Manager VIII,199916.1,0,0,65426.21,265342.31,FT
110847,"Lieutenant, Fire Suppression",139010.96,53328.76,23355.08,49589.41,265284.21,FT
110848,Dep Dir V,199830.08,0,0,65406.61,265236.69,FT
110849,Manager VIII,199916.07,0,0,65276.19,265192.26,FT
110850,Dep Dir V,199916.01,0,0,65276.19,265192.2,FT
110851,Captain 3,199160.02,0,9590.5,56417.58,265168.1,FT
110852,Captain 3,199160,0,9590.44,56417.55,265167.99,FT
110853,Captain 3,199160,0,9590.42,56417.53,265167.95,FT
110854,Police Officer 3,118898.07,72435.34,33480.43,40329.4,265143.24,FT
110855,Marine Engineer of Fire Boats,148591.33,42611.87,21545.68,52341.84,265090.72,FT
110856,Supervising Physician Spec,196570.42,0,14272.5,54234.19,265077.11,PT
110857,Pilot of Fire Boats,148121.11,57602.62,9627.95,49707.02,265058.7,FT
110858,Senior Physician Specialist,207035.66,0,0,57792.56,264828.22,FT
110859,"Lieutenant, Fire Suppression",130961.07,62529.89,22315.57,48948,264754.53,FT
110860,Special Assistant 22,200308.31,0,0,64380.91,264689.22,FT
110861,Senior Physician Specialist,205036.03,0,1890,57704.26,264630.29,FT
110862,Sergeant 3,142996.12,57546.47,19479.05,44444.67,264466.31,FT
110863,EMT/Paramedic/Firefighter,130532.91,70760.71,15677.74,47393.2,264364.56,FT
110864,Lieutenant 3,156479.61,1797,57677.16,48399.13,264352.9,FT
110865,Nurse Manager,174462,0,33147.78,56742.91,264352.69,FT
110866,EMT/Paramedic/Firefighter,130229.91,70263.7,16278.72,47514.35,264286.68,FT
110867,Firefighter,130364.1,83360.02,7821.84,42694.85,264240.81,FT
110868,Dep Dir V,199000.04,0,0,65097.34,264097.38,FT
110869,"Manager VIII, MTA",176484,0,26315.69,61248.97,264048.66,FT
110870,Captain 3,199160,1436.25,7445.62,55981.01,264022.88,FT
110871,Manager VII,196839.44,0,0,67164.45,264003.89,FT
110872,Nurse Manager,178006.18,0,30318.58,55654.16,263978.92,FT
110873,EMT/Paramedic/Firefighter,129001.36,70802.02,16852.09,47081.68,263737.15,FT
110874,Manager VII,198109.18,0,0,65595.8,263704.98,FT
110875,Senior Physician Specialist,200684.82,0,5379.09,57413.41,263477.32,FT
110876,Captain 3,199160.01,2872.5,5760.44,55619.34,263412.29,FT
110877,EMT/Paramedic/Firefighter,129572.15,68326.11,17787.8,47690.04,263376.1,FT
110878,Dep Dir IV,196291.11,0,0,67026.33,263317.44,FT
